lead_id,name,signup_date,source,email_opens_30d,email_clicks_30d,site_visits_30d,pricing_page_visits_30d,cart_abandons_90d,wishlist_items,past_purchases,lifetime_value,days_since_last_activity,_true_persona
HC-0001,Diego Barros,2025-02-01,Organic Search,0,0,1,0,0,1,3,1184.33,253,Lapsed Buyer
HC-0002,Taylor Okafor,2026-07-08,Organic Search,2,1,1,1,0,1,0,0.0,12,New Signup
HC-0003,Alex Meyer,2026-07-12,Paid Social,3,2,4,0,0,1,0,0.0,13,New Signup
HC-0004,Reese Haddad,2026-02-05,Organic Search,4,4,3,4,1,2,0,0.0,6,Engaged Prospect
HC-0005,Kenji Rossi,2026-03-16,Influencer,0,0,0,0,0,2,0,0.0,16,Window Shopper
HC-0006,Taylor Torres,2026-07-08,Email Referral,2,1,6,0,0,0,0,0.0,2,New Signup
HC-0007,Elena Silva,2023-05-23,Email Referral,20,2,10,5,0,4,14,7224.93,15,Whale Collector
HC-0008,Priya Anders,2026-07-03,Direct,0,0,2,1,0,0,0,0.0,7,New Signup
HC-0009,Amara Tanaka,2026-07-29,Paid Social,1,0,4,0,0,3,0,0.0,0,New Signup
HC-0010,Felix Petrov,2026-03-07,Direct,9,0,1,0,0,0,0,0.0,37,Window Shopper
HC-0011,Skyler Okafor,2025-09-13,Organic Search,5,1,3,0,0,0,0,0.0,39,Window Shopper
HC-0012,Devon Okafor,2026-05-09,Influencer,7,5,9,2,1,5,0,0.0,7,Engaged Prospect
HC-0013,Priya Chen,2026-01-21,Influencer,16,2,9,7,2,4,0,0.0,5,Engaged Prospect
HC-0014,Sam Barros,2025-09-02,Email Referral,4,2,2,0,0,0,0,0.0,5,Window Shopper
HC-0015,Taylor Tanaka,2024-10-27,Convention Booth,9,1,4,0,0,1,0,0.0,3,Window Shopper
HC-0016,Jordan Rossi,2025-02-01,Paid Social,2,3,3,0,0,0,0,0.0,15,Window Shopper
HC-0017,Skyler Kowalski,2026-07-17,Influencer,0,0,0,0,0,1,0,0.0,8,New Signup
HC-0018,Casey Larsen,2026-07-31,Organic Search,5,3,5,0,1,1,0,0.0,13,New Signup
HC-0019,Reese Meyer,2023-10-25,Paid Social,1,0,2,0,0,0,3,881.09,131,Lapsed Buyer
HC-0020,Casey Chen,2026-07-13,Paid Social,1,0,1,1,0,0,0,0.0,3,New Signup
HC-0021,Morgan Lindqvist,2026-05-26,Paid Social,8,4,3,1,3,0,0,0.0,9,Engaged Prospect
HC-0022,Elena Lindqvist,2026-01-31,Organic Search,7,4,8,3,0,3,0,0.0,4,Engaged Prospect
HC-0023,Felix Kowalski,2024-01-12,Paid Social,1,0,0,0,0,2,3,1214.55,337,Lapsed Buyer
HC-0024,Zara Okafor,2024-06-25,Paid Social,17,3,12,2,0,1,17,8617.11,14,Whale Collector
HC-0025,Rowan Fuentes,2025-02-21,Paid Social,13,5,8,4,0,8,7,4263.72,19,Whale Collector
HC-0026,Rowan Chen,2026-03-12,Influencer,1,0,0,0,0,2,0,0.0,24,Window Shopper
HC-0027,Andre Okafor,2024-09-10,Convention Booth,9,1,1,0,0,1,0,0.0,25,Window Shopper
HC-0028,Devon Tanaka,2026-07-19,Email Referral,4,0,2,1,0,2,0,0.0,10,New Signup
HC-0029,Diego Petrov,2024-09-30,Paid Social,1,0,1,0,0,2,3,1219.86,269,Lapsed Buyer
HC-0030,Rowan Okafor,2025-08-06,Influencer,3,1,5,0,0,0,0,0.0,40,Window Shopper
HC-0031,Quinn Okafor,2025-11-14,Direct,6,2,1,0,0,0,0,0.0,40,Window Shopper
HC-0032,Diego Fuentes,2026-06-18,Organic Search,8,5,8,7,1,6,0,0.0,0,Engaged Prospect
HC-0033,Victor Kowalski,2024-02-05,Organic Search,19,6,9,2,1,8,10,6004.59,14,Whale Collector
HC-0034,Quinn Rossi,2026-02-19,Paid Social,14,5,4,1,0,7,0,0.0,5,Engaged Prospect
HC-0035,Devon Chen,2025-06-07,Organic Search,0,0,0,0,0,1,2,960.14,151,Lapsed Buyer
HC-0036,Amara Petrov,2026-03-09,Paid Social,14,1,9,2,1,5,0,0.0,4,Engaged Prospect
HC-0037,Rowan Okafor,2025-04-05,Organic Search,9,0,4,0,0,0,0,0.0,16,Window Shopper
HC-0038,Hayden Okafor,2024-06-07,Organic Search,15,3,17,7,1,6,10,5458.54,2,Whale Collector
HC-0039,Devon Ito,2026-07-17,Email Referral,4,0,5,0,0,1,0,0.0,6,New Signup
HC-0040,Rowan Mbeki,2026-05-22,Email Referral,7,2,9,2,0,1,0,0.0,2,Engaged Prospect
HC-0041,Devon Barros,2026-03-07,Paid Social,5,5,10,6,0,2,0,0.0,9,Engaged Prospect
HC-0042,Quinn Kowalski,2026-07-08,Paid Social,0,0,3,1,0,0,0,0.0,0,New Signup
HC-0043,Kenji Fuentes,2025-01-30,Direct,7,2,0,0,0,1,0,0.0,10,Window Shopper
HC-0044,Andre Lindqvist,2026-07-29,Paid Social,0,3,0,1,0,2,0,0.0,9,New Signup
HC-0045,Naomi Ito,2025-05-05,Convention Booth,3,0,0,0,0,4,1,309.93,196,Lapsed Buyer
HC-0046,Emerson Ito,2024-02-01,Direct,0,0,0,0,0,1,2,937.64,355,Lapsed Buyer
HC-0047,Ingrid Chen,2023-01-31,Organic Search,1,1,2,0,0,4,12,4808.26,98,At-Risk VIP
HC-0048,Marcus Mbeki,2025-12-08,Direct,8,0,2,0,0,1,0,0.0,9,Window Shopper
HC-0049,Avery Lindqvist,2024-12-08,Paid Social,3,0,0,1,0,3,0,0.0,27,Window Shopper
HC-0050,Naomi Novak,2026-07-05,Organic Search,2,1,3,1,0,0,0,0.0,0,New Signup
HC-0051,Sofia Lindqvist,2026-04-25,Paid Social,1,1,1,0,0,1,0,0.0,33,Window Shopper
HC-0052,Naomi Barros,2024-06-10,Paid Social,2,0,0,0,0,0,1,412.25,213,Lapsed Buyer
HC-0053,Skyler Kim,2024-12-02,Paid Social,24,9,7,4,0,7,7,3226.59,13,Whale Collector
HC-0054,Devon Okafor,2025-12-18,Email Referral,6,2,3,1,0,0,0,0.0,9,Window Shopper
HC-0055,Skyler Haddad,2025-03-04,Convention Booth,9,0,4,0,0,0,0,0.0,38,Window Shopper
HC-0056,Casey Barros,2026-07-07,Influencer,12,6,7,2,2,3,0,0.0,1,Engaged Prospect
HC-0057,Quinn Haddad,2026-07-22,Paid Social,1,0,0,0,0,1,0,0.0,0,New Signup
HC-0058,Morgan Silva,2025-05-01,Email Referral,10,2,6,0,0,2,0,0.0,15,Window Shopper
HC-0059,Kenji Kim,2026-07-29,Organic Search,6,1,4,2,0,1,0,0.0,9,New Signup
HC-0060,Riley Petrov,2025-01-07,Influencer,5,1,3,0,0,3,0,0.0,11,Window Shopper
HC-0061,Elena Rossi,2024-12-20,Influencer,1,0,0,0,0,0,3,1060.83,96,Lapsed Buyer
HC-0062,Diego Lindqvist,2023-10-11,Convention Booth,0,0,1,0,0,0,2,862.75,98,Lapsed Buyer
HC-0063,Reese Fuentes,2023-09-18,Direct,1,0,0,0,0,3,1,329.95,128,Lapsed Buyer
HC-0064,Devon Meyer,2026-06-04,Organic Search,12,4,3,3,0,3,0,0.0,7,Engaged Prospect
HC-0065,Rowan Haddad,2025-09-05,Email Referral,10,1,6,0,0,0,0,0.0,16,Window Shopper
HC-0066,Rowan Nguyen,2026-04-10,Organic Search,10,5,8,2,3,4,0,0.0,2,Engaged Prospect
HC-0067,Ingrid Kowalski,2024-09-13,Paid Social,7,1,1,0,0,0,0,0.0,21,Window Shopper
HC-0068,Sofia Silva,2024-10-26,Convention Booth,3,0,3,0,0,7,12,6130.06,81,At-Risk VIP
HC-0069,Reese Fuentes,2026-07-11,Convention Booth,2,0,2,0,0,0,0,0.0,5,New Signup
HC-0070,Devon Ito,2026-06-19,Email Referral,6,6,5,3,3,2,0,0.0,0,Engaged Prospect
HC-0071,Naomi Meyer,2024-11-30,Convention Booth,1,0,1,0,0,0,1,338.63,266,Lapsed Buyer
HC-0072,Rowan Anders,2025-09-01,Paid Social,3,0,3,0,0,1,0,0.0,5,Window Shopper
HC-0073,Rowan Kim,2026-07-26,Email Referral,1,0,1,1,0,0,0,0.0,3,New Signup
HC-0074,Kenji Ito,2024-09-04,Organic Search,0,0,0,0,0,4,1,373.45,160,Lapsed Buyer
HC-0075,Victor Tanaka,2026-03-15,Paid Social,9,6,9,6,2,6,0,0.0,2,Engaged Prospect
HC-0076,Ingrid Anders,2026-07-18,Organic Search,2,0,4,0,0,0,0,0.0,12,New Signup
HC-0077,Quinn Rossi,2026-07-07,Email Referral,3,0,1,0,0,2,0,0.0,11,New Signup
HC-0078,Morgan Haddad,2026-07-17,Organic Search,0,0,0,0,0,0,0,0.0,10,New Signup
HC-0079,Reese Tanaka,2026-01-17,Paid Social,1,0,2,0,0,0,0,0.0,5,Window Shopper
HC-0080,Ingrid Lindqvist,2026-04-13,Direct,11,3,6,2,2,0,0,0.0,7,Engaged Prospect
HC-0081,Kenji Ito,2026-06-30,Organic Search,11,7,10,5,1,6,0,0.0,7,Engaged Prospect
HC-0082,Taylor Tanaka,2026-07-06,Organic Search,1,0,4,0,1,1,0,0.0,9,New Signup
HC-0083,Felix Kim,2024-09-27,Influencer,7,0,3,0,0,1,0,0.0,5,Window Shopper
HC-0084,Alex Ito,2026-03-11,Paid Social,12,4,11,2,1,8,0,0.0,1,Engaged Prospect
HC-0085,Rowan Kowalski,2026-07-05,Paid Social,6,0,0,1,0,1,0,0.0,12,New Signup
HC-0086,Sam Reyes,2025-04-12,Direct,0,0,1,0,0,0,2,526.22,101,Lapsed Buyer
HC-0087,Taylor Reyes,2024-11-20,Email Referral,8,3,3,0,0,1,0,0.0,15,Window Shopper
HC-0088,Reese Nguyen,2026-02-18,Direct,9,1,0,0,0,0,0,0.0,32,Window Shopper
HC-0089,Priya Barros,2024-12-23,Paid Social,8,0,3,0,0,1,0,0.0,18,Window Shopper
HC-0090,Quinn Nguyen,2026-02-16,Direct,12,2,3,5,1,3,0,0.0,9,Engaged Prospect
HC-0091,Priya Anders,2025-03-22,Direct,4,7,7,1,1,6,21,10238.37,18,Whale Collector
HC-0092,Marcus Kowalski,2026-07-24,Influencer,5,0,5,0,0,0,0,0.0,8,New Signup
HC-0093,Felix Silva,2025-08-22,Organic Search,6,4,3,0,0,1,0,0.0,36,Window Shopper
HC-0094,Felix Kowalski,2024-09-06,Paid Social,4,0,3,0,0,0,0,0.0,13,Window Shopper
HC-0095,Victor Nguyen,2025-03-12,Organic Search,4,1,3,0,0,1,0,0.0,3,Window Shopper
HC-0096,Andre Mbeki,2023-10-30,Organic Search,1,0,0,0,0,1,2,554.36,325,Lapsed Buyer
HC-0097,Emerson Ito,2024-06-13,Paid Social,18,6,16,4,2,9,7,3453.34,13,Whale Collector
